X y
2.755 3.936
3.032 2.822
1.377	1.526
1.243	3.37
1.068	1.383
3.463	3.256
3.566	2.043
2.858	3.132
2.901	3.445
2.818	1.168
1.331	2.207
1.343	2.268
2.525	2.903
2.127	3.18
1.167	3.711
1.706	1.693
3.459	3.041
1.524	3.674
2.623	2.015
3.094	1.41
1.862	1.931
2.197	2.971
1.382	2.404
1.049	2.536
3.155	3.323
2.279	1.757
3.594	3.988
1.554	2.257
2.696	2.679
3.433	2.956
1.392	2.068
2.763	3.312
2.208	2.025
1.896	2.608
1.521	2.005
2.949	2.208
3.996	3.535
1.844	2.491
3.31	1.876
2.86	1.888
2.071	1.821
1.213	2.879
1.968	2.728
1.442	1.366
1.91	2.349
3.036	2.42
1.041	2.48
3.189	3.08
1.347	3.64
2.194	1.229
1.253	2
1.288	1.116
2.256	1.423
1.89	3.48
1.515	1.986
2.989	2.65
1.357	3.733
1.403	1.461
2.885	3.806
2.193	1.629
2.989	2.069
1.24	2.664
1.553	2.456
3.375	1.762
2.27	1.97
1.644	1.815
3.925	2.595
1.093	3.799
3.469	2.518
1.838	1.691
3.11	3.158
3.471	2.593
3.267	2.663
2.182	2.226
3.871	3.72
1.915	3.431
3.43	2.278
2.987	3.075
2.397	2.242
1.083	2.966
2.029	3.027
3.87	3.821
1.967	2.512
2.369	1.977
3.091	3.383
2.174	3.79
1.258	3.14
1.425	3.375
2.301	3.881
3.036	1.334
2.036	2.201
2.817	2.774
3.559	1.652
1.742	3.478
1.189	2.119
1.8	1.233
2.139	1.379
3.752	3.005
2.012	2.565
